"","Logistic Regression","Decision Tree","Random Forest"
"Sensitivity",0.735294117647059,0.733333333333333,0.738317757009346
"Specificity",0.365384615384615,0.422222222222222,0.769230769230769
"Pos Pred Value",0.602409638554217,0.679012345679012,0.963414634146341
"Neg Pred Value",0.513513513513514,0.487179487179487,0.263157894736842
"Precision",0.602409638554217,0.679012345679012,0.963414634146341
"Recall",0.735294117647059,0.733333333333333,0.738317757009346
"F1",0.662251655629139,0.705128205128205,0.835978835978836
"Prevalence",0.566666666666667,0.625,0.891666666666667
"Detection Rate",0.416666666666667,0.458333333333333,0.658333333333333
"Detection Prevalence",0.691666666666667,0.675,0.683333333333333
"Balanced Accuracy",0.550339366515837,0.577777777777778,0.753774263120057
