"","Logistic Regression","Decision Tree","Random Forest"
"Sensitivity",0.766666666666667,0.724137931034483,0.696969696969697
"Specificity",0.625,0.444444444444444,0.4
"Pos Pred Value",0.884615384615385,0.807692307692308,0.884615384615385
"Neg Pred Value",0.416666666666667,0.333333333333333,0.166666666666667
"Precision",0.884615384615385,0.807692307692308,0.884615384615385
"Recall",0.766666666666667,0.724137931034483,0.696969696969697
"F1",0.821428571428572,0.763636363636364,0.779661016949153
"Prevalence",0.789473684210526,0.763157894736842,0.868421052631579
"Detection Rate",0.605263157894737,0.552631578947368,0.605263157894737
"Detection Prevalence",0.684210526315789,0.684210526315789,0.684210526315789
"Balanced Accuracy",0.695833333333333,0.584291187739464,0.548484848484849
"AUC",0.884615384615385,0.807692307692308,0.884615384615385
