"","Logistic Regression","Decision Tree","Random Forest"
"Sensitivity",0.631578947368421,0.78125,0.75
"Specificity",0.263157894736842,0.833333333333333,0.666666666666667
"Pos Pred Value",0.461538461538462,0.961538461538462,0.923076923076923
"Neg Pred Value",0.416666666666667,0.416666666666667,0.333333333333333
"Precision",0.461538461538462,0.961538461538462,0.923076923076923
"Recall",0.631578947368421,0.78125,0.75
"F1",0.533333333333333,0.862068965517241,0.827586206896552
"Prevalence",0.5,0.842105263157895,0.842105263157895
"Detection Rate",0.315789473684211,0.657894736842105,0.631578947368421
"Detection Prevalence",0.684210526315789,0.684210526315789,0.684210526315789
"Balanced Accuracy",0.447368421052632,0.807291666666667,0.708333333333333
"AUC",0.461538461538462,0.961538461538462,0.923076923076923
